sequence	EC	count	dbcan_column
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.11	0	GH13, GH1, GH29, GH38, GH47, GH49, GH66, GH92
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.18	0	GH13, GH57, GT19, GT5, GT8
04f716b8f78b0e3fd75f4f79c6d933a6	EC:5.4.99.16	0	GH13
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.25	0	GH13, GH57, GH77, GT1, GT22, GT41, GT4, GT58, GT59
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.4	0	GH13
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.7	0	GH13
04f716b8f78b0e3fd75f4f79c6d933a6	EC:5.4.99.15	0	GH13
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.99.16	0	GH13
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.51	0	GH141, GH151, GH29, GH95
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.23	4	GH147, GH165, GH1, GH2, GH35, GH42, GH59
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.3	0	GH15, GH97
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.28	0	GH15, GH37, GH65
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.25	0	GH164, GH1, GH2, GH5
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.6	0	GH16, GH9
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.35	0	GH16, GH56, GH84
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.58	0	GH17, GH3, GH55, GH5
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.96	0	GH18, GH73, GH85
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.31	0	GH1, GH2, GH30, GH79
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.85	1	GH1
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.86	5	GH1, GH4
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.67	0	GH28, GH4
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.82	0	GH28
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.55	0	GH2, GH3, GH43, GH51, GH54, GH62
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.24	0	GH31, GH38, GH92
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.16	0	GH31, GT2
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.64	0	GH32
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.65	0	GH32
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.80	0	GH32
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.10	1	GH32, GH68, GT105, GT13, GT14, GT39
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.82	0	GH36
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.76	0	GH39
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.99	0	GH43
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.89	0	GH53
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.46	0	GH59
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.91	0	GH5, GH6, GH9
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.8	1	GH65
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.64	0	GH65
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.5	0	GH70
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.14	0	GH70, GT16, GT17, GT31, GT33, GT4, GT54
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.59	0	GH71, GH87
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.50	0	GH89
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.17	0	GH91
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.56	0	GT103, GT4, GT9
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.15	0	GT10, GT14, GT18, GT1, GT20, GT28, GT4
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.2.26	0	GT14
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.13	0	GT15, GT31, GT43, GT4, GT7
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.17	0	GT1, GT31, GT70
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.11	0	GT1, GT2, GT3, GT5
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.12	0	GT1, GT2, GT31, GT51, GT8
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.3.12	0	GT20
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.80	0	GT21
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.50	0	GT25
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.46	0	GT28
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.22	0	GT28, GT31, GT47, GT64, GT7
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.99.1	0	GT29, GT80
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.83	0	GT2
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.34	0	GT2, GT48
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.1	0	GT35
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.52	0	GT4
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.57	0	GT4
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.99.18	0	GT66
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.99.19	0	GT66
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.87	0	GT6
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.40	0	GT6
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.37	0	GT6, GT77
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.38	0	GT7
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.90	0	GT7
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.2.43	0	GT83
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.44	0	GT8
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.58	0	GT8
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.2	0	PL10, PL1, PL2, PL3, PL9
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.23	0	PL11, PL4
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.24	0	PL11, PL26
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.8	0	PL12, PL21, PL37
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.7	0	PL13, PL21
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.3	0	PL14, PL15, PL17, PL18, PL32, PL36, PL5, PL6, PL7
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.1	0	PL16, PL29, PL30, PL33, PL8
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.9	0	PL1, PL2, PL9
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.10	0	PL1
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.6	0	PL22
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.20	0	PL29, PL33, PL37, PL8
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.5	0	PL35, PL8
04f716b8f78b0e3fd75f4f79c6d933a6	EC:4.2.2.19	0	PL6
059bd1686e507efed01c12fd89a4e394	EC:1.10.3.2	0	AA1
059bd1686e507efed01c12fd89a4e394	EC:1.1.99.18	0	AA3
059bd1686e507efed01c12fd89a4e394	EC:1.1.3.9	0	AA5
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.3	0	CE10
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.7	0	CE10
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.8	0	CE10
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.13	0	CE10
059bd1686e507efed01c12fd89a4e394	EC:3.5.1.10	0	CE11
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.72	0	CE12, CE1, CE2, CE3, CE4, CE5, CE6, CE7
059bd1686e507efed01c12fd89a4e394	EC:3.5.1.89	0	CE14
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.73	0	CE1
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.1	0	CE1
059bd1686e507efed01c12fd89a4e394	EC:3.1.2.12	0	CE1
059bd1686e507efed01c12fd89a4e394	EC:2.3.1.20	0	CE1
059bd1686e507efed01c12fd89a4e394	EC:2.3.1.12	1	CE1
059bd1686e507efed01c12fd89a4e394	EC:3.5.1.41	0	CE4
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.74	0	CE5
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.41	0	CE7
059bd1686e507efed01c12fd89a4e394	EC:3.1.1.11	0	CE8
059bd1686e507efed01c12fd89a4e394	EC:3.5.1.25	1	CE9
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.26	1	GH100, GH32, GH68
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.97	0	GH101
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.17	1	GH105, GH106, GH108, GH16, GH17, GH18, GH19, GH1, GH22, GH23, GH24, GH25, GH28, GH31, GH38, GH48, GH63, GH73, GH78, GH7, GH86
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.40	0	GH106, GH28, GH78
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.8	0	GH10, GH11, GH141, GH30, GH43, GH51, GH5, GH8, GH98
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.4	0	GH10, GH124, GH12, GH44, GH45, GH48, GH51, GH5, GH6, GH74, GH7, GH8, GH9
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.22	1	GH110, GH27, GH31, GH36, GH4, GH57, GH97
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.21	0	GH112, GH65, GT10, GT1, GT20, GT2, GT55, GT5
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.78	0	GH113, GH134, GH26, GH45, GH5
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.10	1	GH114, GH13, GH16, GH1, GH26, GH31, GH5, GH63, GH65, GH76, GH98
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.21	1	GH116, GH1, GH3, GH5, GH9
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.37	0	GH116, GH120, GH1, GH2, GH30, GH39, GH3, GH43, GH51, GH52, GH54
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.45	0	GH116, GH30, GH3, GH5
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.52	0	GH116, GH20, GH3, GH5, GH84
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.81	0	GH118, GH16, GH50, GH86
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.1	0	GH119, GH13, GH57
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.20	1	GH122, GH13, GH31, GH4, GH63, GH76, GH97
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.18	0	GH127, GH137, GH142, GH146, GH156, GH16, GH1, GH33, GH34, GH83
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.39	0	GH128, GH152, GH157, GH158, GH16, GH17, GH55, GH5, GH64, GH81
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.15	0	GH12, GH16, GH28, GH2, GH32, GH44, GH45, GH5, GH74, GH82, GH8, GH96, GH9
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.73	0	GH12, GH16, GH17, GH26, GH51, GH5, GH7, GH8, GH9
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.20	0	GH12, GH16, GH94, GT1, GT4
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.14	0	GH136, GH13, GH159, GH18, GH19, GH1, GH20, GH23, GH2, GH43, GH48, GH5
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.41	0	GH13, GH57
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.19	0	GH13, GT1, GT2
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.54	0	GH13, GH57
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.93	1	GH13
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.68	0	GH13
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.70	0	GH13, GH15
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.11	0	GH13, GH1, GH29, GH38, GH47, GH49, GH66, GH92
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.18	0	GH13, GH57, GT19, GT5, GT8
059bd1686e507efed01c12fd89a4e394	EC:5.4.99.16	0	GH13
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.25	0	GH13, GH57, GH77, GT1, GT22, GT41, GT4, GT58, GT59
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.4	0	GH13
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.7	0	GH13
059bd1686e507efed01c12fd89a4e394	EC:5.4.99.15	0	GH13
059bd1686e507efed01c12fd89a4e394	EC:2.4.99.16	0	GH13
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.51	0	GH141, GH151, GH29, GH95
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.23	1	GH147, GH165, GH1, GH2, GH35, GH42, GH59
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.3	0	GH15, GH97
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.28	0	GH15, GH37, GH65
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.25	0	GH164, GH1, GH2, GH5
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.6	0	GH16, GH9
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.35	0	GH16, GH56, GH84
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.58	0	GH17, GH3, GH55, GH5
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.96	0	GH18, GH73, GH85
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.31	0	GH1, GH2, GH30, GH79
