ASV_id	44-(11)-C-F-LJ	45-(11)-C-F-LK	46-(11)-C-F-LL	47-(11)-C-F-LM	49-(11)-C-F-LO	50-(11)-C-F-LP	MED	MFE	MHG	MKJ	MNM	5_1_1_11	5_1_2_11	5_1_3_11	5_1_4_11	5_1_5_11	13-(11)-S-F-KE	15-(11)-S-F-KG	16-(11)-S-F-KH	20-(11)-S-F-KL	27-(11)-S-F-KS	28-(11)-S-F-KT	NVU	NXW	LXA_2	5_3_3_11	5_3_4_11	5_5_4_11	5_5_5_11	5_8_2_11
00009a05c552f3249f75031c1f3382bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001d123420b59585627edf5a1292ae8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
000346e31c7cc77c7ed1244763587e06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0004f5a3390d541b61d86b302a8584d7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
000f221a7746e0a2454f8f2d5ca7ff67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0010cc8bd75d4eac37d162e2a87a77e5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001117cb5a7cbd5dfee6dc64cb310c72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00139629c9f0c84c4392ec14cffdf43a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0013f185b1932d9c8a6b023629730115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001420d2f74f185964e8f02b71cd6706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0018e64801f203e1138569dce1ed2c23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001a0d5fed1f3d620264582a435fcbb0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001c3a8baf0a8c554e21bb622692c901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
